Airspace,Key,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,00:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,00:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,00:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,00:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,00:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,00:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,00:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,00:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,00:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,00:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,00:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,00:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,00:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,00:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,00:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,00:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,00:50,0,0,0,0,0,0,0
