Callsign,Track Miles,3Di Score,Fuel Burn,CO2
2COOK,262.942,9.04333,0,0
2DARE,287.061,6.41605,0,0
2DARE1,534.103,7.53088,0,0
2DARE2,272.08,10.783,0,0
2DITO,206.182,53.5967,0,0
2FIFI,229.137,44.3391,0,0
2FIFI1,213.38,35.1193,0,0
2RBTS,192.746,17.5415,0.419472,1.33392
2RBTS1,181.895,11.5024,0.414086,1.31679
9AJIP,516.983,1.04964,0.766073,2.43611
9AJIP1,754.193,42.7158,1.03707,3.29787
9HBOG,187.111,6.48612,0.941816,2.99497
AAB728,567.826,17.1804,0.833404,2.65022
AAL101,2996.33,0.219745,44.7343,142.255
AAL104,3027.66,1.1603,53.6079,170.473
AAL105,2999.33,0.309873,53.1033,168.868
AAL107,2999.33,0.309873,53.1033,168.868
AAL108,4734.86,0.17225,67.2453,213.84
AAL109,4859.01,2.52951,68.3933,217.491
AAL111,4182.84,0.119586,44.9582,142.967
AAL135,4859.8,2.5444,80.2944,255.336
AAL136,4734.86,0.17225,78.5511,249.793
AAL141,2996.33,0.219745,44.2017,140.562
AAL142,3027.66,1.1603,44.8927,142.759
AAL150,3632.48,0.912027,36.2899,115.402
AAL151,3622.12,0.653561,37.0882,117.94
AAL199,3474.56,0.375839,50.9579,162.046
AAL203,3296.85,1.68159,32.9293,104.715
AAL221,4341.44,1.66024,62.074,197.395
AAL239,4867.52,0.0760715,69.2641,220.26
AAL25,2867.49,0.0501499,20.5039,65.2023
AAL279,2824.35,0.157183,19.9549,63.4566
AAL39,3947.11,2.61563,67.365,214.221
AAL41,3888.31,1.42162,38.6615,122.944
AAL42,4065.95,0.491374,40.1963,127.824
AAL43,4060.34,0.366776,40.1495,127.675
AAL45,3171.49,0.676981,32.0422,101.894
AAL46,3445.04,0.582632,36.6001,116.388
AAL47,3453.35,0.800254,38.7049,123.082
AAL49,4307.96,0.454015,61.6105,195.921
AAL51,4160.29,0.984607,70.457,224.053
AAL52,3637.63,0.545115,35.7759,113.767
AAL53,3643.83,0.698877,35.8431,113.981
AAL57,3947.11,2.61563,67.365,214.221
AAL63,4002.9,0.584747,57.7826,183.749
AAL705,3874.84,1.54222,45.6172,145.063
AAL71,4498.46,0.859911,64.5819,205.371
AAL717,3613.08,0.87135,42.7747,136.024
AAL728,3091.16,0.610492,34.5089,109.738
AAL729,3072.57,0.0671552,34.3626,109.273
AAL730,3514.37,1.45327,38.7707,123.291
AAL731,3465.4,0.182593,38.3267,121.879
AAL732,3487.29,0.750487,39.0513,124.183
AAL733,3465.4,0.182593,38.2669,121.689
AAL734,2983.65,0.282609,36.0739,114.715
AAL735,2981,0.202753,36.019,114.54
AAL737,3072.57,0.0671552,34.3626,109.273
AAL751,3504.14,2.18364,41.7042,132.619
AAL754,3259.89,0.852848,39.4558,125.47
AAL755,3238.27,0.252033,38.8511,123.547
AAL759,4381.23,0.40042,47.5466,151.198
AAL78,4139.23,0.525375,70.431,223.971
AAL787,3623.88,0.195779,42.9141,136.467
AAL79,4160.29,0.984607,72.312,229.952
AAL80,4139.23,0.525375,70.431,223.971
AAL81,4160.29,0.984607,70.457,224.053
AAL87,3453.35,0.800254,38.159,121.346
AAL90,3441.79,0.497257,34.5618,109.906
AAL91,3453.35,0.800254,34.6664,110.239
AAL93,3497.09,0.283495,34.8629,110.864
AAL97,3888.6,0.508517,38.3377,121.914
AAL98,3445.04,0.582632,34.5993,110.026
AAL99,3453.35,0.800254,34.7145,110.392
AAR521,4817.95,0.689981,57.8736,184.038
AAR522,4813.28,0.602377,57.8297,183.898
AAR587,3188.57,0.362471,70.2861,223.51
AAR793,1353.75,0.962366,33.6579,107.032
AAR7931,349.675,4.26526,11.6936,37.1856
ABD323,940.583,14.0663,24.9763,79.4248
ABD4831,3987.13,1.72412,85.4842,271.84
