SampleID,FlightID,Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
3,1,ENH001,79.299216,1.60801e-014,0.791322,2.5164,1124
3,2,ENH002,299.601813,2.0906e-011,4.76215,15.1436,2794
3,3,ENH003,321.866590,-1.25158e-010,5.00991,15.9315,2957
3,4,ENH004,316.644653,-2.01948e-010,2.32631,7.39767,3032
3,5,ENH005,297.463274,-3.3601e-010,0.897377,2.85366,3023
3,6,ENH006,290.601589,-2.05074e-010,1.83941,5.84932,2798
3,7,ENH007,152.591228,-2.63215e-010,1.37152,4.36144,1752
3,8,ENH007,303.763053,-5.84e-011,2.01577,6.41015,2900
3,9,ENH009,226.173615,-1.68088e-010,1.81196,5.76202,2332
3,10,ENH010,299.601813,2.94693e-011,2.01507,6.40794,2888
3,11,ENH011,307.268343,-1.45214e-010,2.27694,7.24068,2957
3,12,ENG012,169.035826,-2.06031e-010,1.34814,4.28708,1846
2,1,ENH001,251.545203,194.903,2.06981,6.58199,3219
2,2,ENH002,425.458298,37.6937,6.1689,19.6171,3729
2,3,ENH003,321.866590,-1.25158e-010,5.00991,15.9315,2957
2,4,ENH004,316.644653,-2.01948e-010,2.32631,7.39767,3032
2,5,ENH005,297.463274,-3.3601e-010,0.897377,2.85366,3023
2,6,ENH006,290.601589,-2.05074e-010,1.83941,5.84932,2798
2,7,ENH007,152.591228,-2.63215e-010,1.37152,4.36144,1752
2,8,ENH007,303.763053,-5.84e-011,2.01577,6.41015,2900
2,9,ENH009,226.173615,-1.68088e-010,1.81196,5.76202,2332
2,10,ENH010,299.601813,2.94693e-011,2.01507,6.40794,2888
2,11,ENH011,307.268343,-1.45214e-010,2.27694,7.24068,2957
2,12,ENG012,169.035826,-2.06031e-010,1.34814,4.28708,1846
