SampleID,FlightID,Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
1,1,ENH001,78.310696,-1.11855,0.732062,2.32796,1048
1,2,ENH002,362.871450,18.9491,2.33408,7.42238,3390
1,3,ENH003,321.866590,-1.49515e-010,2.10851,6.70507,3047
1,4,ENH004,316.644653,-2.01948e-010,2.32631,7.39767,3032
1,5,ENH005,297.463274,-3.3601e-010,0.897377,2.85366,3023
1,6,ENH006,290.558868,-0.0131912,2.00767,6.38439,2805
1,7,ENH007,152.591228,-2.63215e-010,1.37152,4.36144,1752
1,8,ENH007,303.763053,-5.84e-011,2.01577,6.41015,2900
1,9,ENH009,226.173615,-1.68088e-010,1.81196,5.76202,2332
1,10,ENH010,299.601813,2.94693e-011,2.01507,6.40794,2888
1,11,ENH011,307.268343,-1.45214e-010,2.27694,7.24068,2957
1,12,ENH012,169.035826,-2.06031e-010,1.34814,4.28708,1846
1,13,ENH013,516.533834,54.2694,3.24436,10.3171,4706
1,14,ENH014,330.955517,2.53381,2.24079,7.12573,3176
