Airspace,Key,Function,TimeOfDay,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,00:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,00:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,00:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,00:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,00:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,00:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,00:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,00:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,00:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,00:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,00:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,00:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,00:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,00:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,00:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,00:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,00:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,00:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,01:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,01:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,01:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,01:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,01:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,01:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,01:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,01:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,01:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,01:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,01:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,01:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,01:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,01:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,01:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,01:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,01:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,01:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,02:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,02:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,02:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,02:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,02:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,02:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,02:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,02:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,02:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,02:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,02:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,02:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,02:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,02:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,02:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,02:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,02:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,02:50,0,0,0,0,0,0,0
