SampleID,FlightID,Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
2,1,CFE6Z,436.995376,43.8082,2.23114,7.09502,4104
2,2,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,3,CFE8MS,436.995376,43.8082,2.23114,7.09502,4104
2,4,CFE14K,416.703049,31.9577,2.1523,6.8443,3929
2,5,CFE57J,436.995376,43.8082,2.23114,7.09502,4104
2,6,CFE42M,436.995376,43.8082,2.23114,7.09502,4104
2,7,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,8,CFE1PH,436.995376,43.8082,2.23114,7.09502,4104
2,9,CFE14K,416.703049,31.9577,2.1523,6.8443,3929
2,10,CFE8MS,436.995376,43.8082,2.29781,7.30704,4075
2,11,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,12,CFE75P,436.995376,43.8082,2.23114,7.09502,4104
2,13,CFE8MS,436.995376,43.8082,2.23114,7.09502,4104
2,14,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,15,CFE75P,436.995376,43.8082,2.22809,7.08532,4104
2,16,CFE9750,436.995376,43.8082,2.23895,7.11985,4104
2,17,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,18,CFE75P,436.995376,43.8082,2.23114,7.09502,4104
2,19,CFE36P,436.995376,43.8082,2.22809,7.08532,4104
2,20,CFE42M,436.995376,43.8082,2.23114,7.09502,4104
2,21,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,22,CFE75P,436.995376,43.8082,2.23114,7.09502,4104
2,23,CFE36P,436.995376,43.8082,2.29781,7.30704,4075
2,24,CFE8MS,436.995376,43.8082,2.23895,7.11985,4104
2,25,CFE69ZN,416.703049,31.9577,2.15802,6.86252,3929
2,26,CFE75P,436.995376,43.8082,2.23895,7.11985,4104
2,27,CFE6Z,436.995376,43.8082,2.23895,7.11985,4104
2,28,CFE14K,416.703049,31.9577,2.15802,6.86252,3929
2,29,CFE8MS,436.995376,43.8082,2.23895,7.11985,4104
2,30,CFE75P,436.995376,43.8082,2.23895,7.11985,4104
2,31,CFE6Z,436.995376,43.8082,2.22809,7.08532,4104
2,32,CFE8MS,436.995376,43.8082,2.22809,7.08532,4104
2,33,CFE14K,416.703049,31.9577,2.1523,6.8443,3929
2,34,CFE6Z,436.995376,43.8082,2.23895,7.11985,4104
2,35,CFE75P,436.995376,43.8082,2.23114,7.09502,4104
2,36,CFE8729,416.703049,31.9577,2.1523,6.8443,3929
2,37,CFE52F,436.995376,43.8082,2.23895,7.11985,4104
2,38,CFE6Z,436.995376,43.8082,2.23114,7.09502,4104
2,39,CFE69ZN,416.703049,31.9577,2.15041,6.8383,3929
2,40,CFE75P,436.995376,43.8082,2.22809,7.08532,4104
2,41,CFE8729,416.703049,31.9577,2.15041,6.8383,3929
2,42,CFE52F,436.995376,43.8082,2.22809,7.08532,4104
2,43,CFE6Z,436.995376,43.8082,2.22809,7.08532,4104
2,44,CFE42M,436.995376,43.8082,2.23114,7.09502,4104
2,45,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,46,CFE36P,436.995376,43.8082,2.23114,7.09502,4104
2,47,CFE6Z,436.995376,43.8082,2.23114,7.09502,4104
2,48,CFE69ZN,416.703049,31.9577,2.1523,6.8443,3929
2,49,CFE75P,436.995376,43.8082,2.23895,7.11985,4104
