Callsign,Track Miles,3Di Score,Fuel Burn,CO2
2COOK,262.942,9.04336,0,0
2DARE,621.41,118.4,0,0
2DARE1,1635.96,208.18,0,0
2DARE2,272.08,10.7829,0,0
2DITO,206.182,53.5969,0,0
2FIFI,235.896,48.2936,0,0
2FIFI1,213.38,35.1192,0,0
2RBTS,192.746,17.5415,0.419472,1.33392
2RBTS1,181.895,11.5023,0.414086,1.31679
9AJIP,416.331,0.962688,0.442684,1.40774
9AJIP1,566.955,9.83442,0.828067,2.63325
9HBOG,187.111,6.48608,0.941834,2.99503
AAB728,1652.22,221.349,2.09311,6.6561
AAL101,879.6,56.3802,16.1455,51.3428
AAL104,595.089,2.11677,9.58561,30.4822
AAL105,879.6,56.3802,19.2497,61.2141
AAL107,888.124,56.2283,19.3997,61.6912
AAL108,475.577,1.06406,6.02384,19.1558
AAL109,657.138,1.37338,12.8267,40.7889
AAL111,880.18,3.95644,9.52899,30.3022
AAL135,657.138,1.37338,15.3045,48.6682
AAL136,475.577,1.06406,7.38387,23.4807
AAL141,888.124,56.2283,16.2624,51.7144
AAL142,595.089,2.11677,7.78298,24.7499
AAL150,1242.46,51.2731,11.5955,36.8737
AAL151,691.453,0.786225,9.22059,29.3215
AAL199,1028.04,1.92239,18.3497,58.352
AAL203,1203.89,53.5208,14.2999,45.4738
AAL221,726.127,1.99482,13.8723,44.1138
AAL239,848.141,4.5565,12.9243,41.0992
AAL25,358.245,0.408829,3.99582,12.7067
AAL279,395.496,1.27999,4.30065,13.6761
AAL39,404.071,4.9766,10.7484,34.1799
AAL41,724.224,2.35265,7.29635,23.2024
AAL42,1049.82,2.1161,10.5125,33.4296
AAL43,1550.49,125.003,15.406,48.9912
AAL45,700.518,1.48245,9.27448,29.4928
AAL46,616.002,1.46107,5.81517,18.4922
AAL47,610.108,4.4348,8.67199,27.5769
AAL49,687.632,0.383847,13.2395,42.1015
AAL51,889.6,56.4707,19.4257,61.7737
AAL52,981.617,0.972472,10.0116,31.837
AAL53,931.594,0.475171,9.51424,30.2553
AAL57,404.071,4.9766,10.7484,34.1799
AAL63,472.878,3.20463,10.0049,31.8155
AAL705,945.734,4.04381,13.6596,43.4375
AAL71,1362.9,46.5659,23.1299,73.553
AAL717,956.825,1.38176,11.8595,37.7132
AAL728,568.106,3.24388,5.62393,17.8841
AAL729,887.89,56.1897,11.9681,38.0587
AAL730,615.204,1.34292,6.15886,19.5852
AAL731,879.6,56.3802,11.8762,37.7664
AAL732,575.701,4.48678,5.82712,18.5303
AAL733,879.6,56.3802,11.9124,37.8815
AAL734,460.59,1.44495,4.72341,15.0204
AAL735,492.858,2.79702,8.16994,25.9804
AAL737,887.89,56.1897,11.9681,38.0587
AAL751,829.545,2.93819,12.2595,38.9853
AAL754,1124.3,50.7756,13.004,41.3527
AAL755,691.453,0.786225,10.5471,33.5398
AAL759,1059.36,6.25223,12.0175,38.2158
AAL78,615.204,1.34292,10.0185,31.8589
AAL787,696.936,1.01608,10.6483,33.8615
AAL79,889.6,56.4707,19.2545,61.2292
AAL80,615.204,1.34292,10.0185,31.8589
AAL81,889.6,56.4707,19.4257,61.7737
AAL87,610.108,4.4348,8.82113,28.0512
AAL90,582.272,3.25271,4.98635,15.8566
AAL91,610.108,4.4348,8.42588,26.7943
AAL93,955.042,1.40527,11.8316,37.6244
AAL97,1317.36,47.0273,13.3247,42.3726
AAL98,616.002,1.46107,5.38887,17.1366
AAL99,610.108,4.4348,8.37652,26.6373
AAR521,441.325,3.56702,4.54159,14.4423
AAR522,779.964,84.4954,12.0898,38.4455
AAR587,746.658,1.58077,15.1679,48.234
AAR793,936.226,125.831,19.4515,61.8559
AAR7931,396.633,16.8886,12.7851,40.6566
ABD323,1185.93,85.5681,32.1379,102.198
ABD4831,873.096,6.49028,17.9785,57.1716
ABD713,886.991,2.41491,18.3687,58.4125
ABR1CL,138.503,27.6349,0,0
ABR1CL1,434.631,9.27699,0,0
ABR2CL,419.701,5.87581,0,0
ABR2CL1,112.136,5.29184,0,0
ABR5NA,169.934,30.3555,0,0
ABR6BN,504.024,3.13869,0,0
ABR6NA,137.031,7.10427,0,0
ABR7BN,846.958,66.3258,0,0
ABW303,939.682,3.44374,25.9889,82.6448
