SampleID,FlightID,Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
1,1,AZA215,268.973147,12.7491,1.40993,4.48357,2267
1,2,CFE1AM,268.973147,12.7491,1.46939,4.67267,2217
1,3,CFE5VZ,268.973147,12.7491,1.23494,3.92711,2244
1,4,CFE8741,268.973147,12.7491,1.40908,4.48089,2202
1,5,EZY82XF,268.973147,12.765,1.64778,5.23993,2143
1,6,SPG765,268.973147,12.7491,0.396191,1.25989,2450
1,7,SWR435,268.973147,12.7491,1.37889,4.38488,2213
1,8,SWR43P,268.973147,12.7491,1.46374,4.6547,2232
1,9,TCGHP,268.973147,12.7491,0.882663,2.80687,2233
1,10,AZA215,268.973147,12.7509,1.34508,4.27736,2257
1,11,AZA217,268.973147,12.7505,1.34211,4.26792,2257
1,12,AZA72B,268.973147,12.7491,1.40163,4.45717,2268
1,13,CFE1AM,268.973147,12.7491,1.2921,4.10889,2264
1,14,CFE5VZ,268.973147,12.7491,1.46229,4.65008,2215
1,15,CFE7349,268.973147,12.7597,1.39255,4.42831,2266
1,16,CFE8741,268.973147,12.7491,1.51233,4.80922,2229
1,17,EES302B,268.973147,12.7491,0.352491,1.12092,2633
1,18,EZY73BR,268.973147,12.7515,1.85403,5.89581,2183
1,19,EZY82XF,268.973147,12.7491,1.69215,5.38105,2151
1,20,FHJFP,268.973147,12.7491,0.178081,0.566296,4131
1,21,MCKSB,268.973147,12.7491,0.69542,2.21143,2171
1,22,MHV20Y,268.973147,12.7491,0.738021,2.34691,2182
1,23,NJE646Y,268.973147,12.7491,0.539442,1.71543,2396
1,24,STK3AP,268.973147,12.7491,1.57785,5.01755,2349
1,25,SWR435,268.973147,12.7491,1.50663,4.79108,2242
1,26,SWR43P,268.973147,12.7491,1.45394,4.62354,2229
1,27,SWR44K,268.973147,12.7491,1.52165,4.83885,2246
1,28,AMC185,268.973147,12.7491,1.93373,6.14925,2183
1,29,AXY0305,268.973147,12.7491,0.833985,2.65207,2232
1,30,AZA217,268.973147,12.7491,1.35979,4.32412,2260
1,31,AZA72B,268.973147,12.7523,1.40225,4.45916,2265
1,32,BZE06A,268.973147,12.7491,0.817994,2.60122,2355
1,33,CFE1AM,268.973147,12.7491,1.47649,4.69523,2219
1,34,CFE505T,268.973147,12.7491,1.37972,4.3875,2264
1,35,CFE5VZ,268.973147,12.7491,1.40218,4.45892,2200
1,36,CFE7349,268.973147,12.7491,1.42449,4.52989,2273
1,37,CFE8741,268.973147,12.7491,1.4552,4.62754,2213
1,38,EZY82XF,268.973147,12.7491,1.81184,5.76167,2146
1,39,STK3AP,268.973147,12.7491,1.57645,5.01313,2349
1,40,SWR435,268.973147,12.7491,1.4835,4.71753,2236
1,41,SWR43P,268.973147,12.7491,1.46374,4.6547,2232
1,42,SWR44K,268.973147,12.7491,1.43137,4.55176,2224
1,43,AZA217,268.973147,12.7536,1.41444,4.49792,2271
1,44,CFE1AM,268.973147,12.7491,1.21705,3.87022,2239
1,45,CFE2285,268.973147,12.7491,1.43554,4.56502,2208
1,46,CFE33E,268.973147,12.7491,1.50638,4.7903,2227
