Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
1,AZA215,287.970586,11.8015,1.47989,4.70604,2420
2,CFE1AM,287.970586,11.8015,1.54674,4.91862,2360
3,CFE5VZ,287.970586,11.8015,1.26997,4.03852,2391
4,CFE8741,287.970586,11.8015,1.4875,4.73025,2346
5,EZY82XF,287.970586,11.8015,1.90723,6.06501,2287
6,SPG765,287.970586,11.8015,0.420391,1.33684,2606
7,SWR435,287.970586,11.8015,1.42464,4.53037,2360
8,SWR43P,287.970586,11.8015,1.50923,4.79934,2376
9,TCGHP,287.970586,11.8015,0.933282,2.96784,2374
10,AZA215,287.970586,11.8015,1.4171,4.50639,2411
11,AZA217,287.970586,11.8015,1.414,4.49651,2410
12,AZA72B,287.970586,11.8015,1.47257,4.68279,2422
13,CFE1AM,287.970586,11.8015,1.32459,4.21221,2409
14,CFE5VZ,287.970586,11.8015,1.53931,4.895,2358
15,CFE7349,287.970586,11.8015,1.4635,4.65392,2419
16,CFE8741,287.970586,11.8015,1.5927,5.06478,2371
17,EES302B,287.970586,11.8015,0.373955,1.18918,2800
18,EZY73BR,287.970586,11.8015,1.95524,6.21767,2331
19,EZY82XF,287.970586,11.8015,1.96293,6.24211,2297
20,FHJFP,287.970586,11.8015,0.189166,0.601548,4397
21,MCKSB,287.970586,11.8015,0.723419,2.30047,2265
22,MHV20Y,287.970586,11.8015,0.778541,2.47576,2321
23,NJE646Y,287.970586,11.8015,0.567959,1.80611,2530
24,STK3AP,287.970586,11.8015,1.67974,5.34158,2469
25,SWR435,287.970586,11.8015,1.55852,4.95609,2386
26,SWR43P,287.970586,11.8015,1.49993,4.76979,2374
27,SWR44K,287.970586,11.8015,1.56705,4.98323,2390
28,AMC185,287.970586,11.8015,2.01734,6.41513,2330
29,AXY0305,287.970586,11.8015,0.800416,2.54532,2894
30,AZA217,287.970586,11.8015,1.43126,4.5514,2413
31,AZA72B,287.970586,11.8015,1.47227,4.68181,2418
32,BZE06A,287.970586,11.8015,0.633096,2.01324,2338
33,CFE1AM,287.970586,11.8015,1.55361,4.94046,2361
34,CFE505T,287.970586,11.8015,1.45018,4.61157,2417
35,CFE5VZ,287.970586,11.8015,1.47921,4.70388,2344
36,CFE7349,287.970586,11.8015,1.49792,4.7634,2426
37,CFE8741,287.970586,11.8015,1.53242,4.8731,2356
38,EZY82XF,287.970586,11.8015,1.91609,6.09316,2288
39,STK3AP,287.970586,11.8015,1.67811,5.33641,2468
40,SWR435,287.970586,11.8015,1.52911,4.86258,2381
41,SWR43P,287.970586,11.8015,1.50923,4.79934,2376
42,SWR44K,287.970586,11.8015,1.47745,4.69828,2369
43,AZA217,287.970586,11.8015,1.48643,4.72685,2424
44,CFE1AM,287.970586,11.8015,1.25331,3.98553,2387
45,CFE2285,287.970586,11.8015,1.51312,4.81172,2351
46,CFE33E,287.970586,11.8015,1.58591,5.0432,2370
47,CFE5VZ,287.970586,11.8015,1.55642,4.94943,2362
48,EZY82XF,287.970586,11.8015,1.9078,6.0668,2286
49,FHGET,287.970586,11.8015,0.192465,0.612039,4368
50,NJE597Y,287.970586,11.8015,0.554797,1.76425,2512
51,PTA34,287.970586,11.8015,0.46473,1.47784,2463
52,STK3AP,287.970586,11.8015,1.61333,5.13038,2452
53,SWR435,287.970586,11.8015,1.49447,4.75241,2373
54,SWR43P,287.970586,11.8015,1.56538,4.9779,2389
55,SWR44K,287.970586,11.8015,1.45275,4.61975,2364
56,CFE1AM,287.970586,11.8015,1.52694,4.85566,2355
57,CFE8741,287.970586,11.8015,1.59634,5.07636,2372
58,EZY7369,287.970586,11.8015,1.87601,5.9657,2281
59,EZY82XF,287.970586,11.8015,1.94422,6.18261,2292
60,NJE464U,287.970586,11.8015,0.775581,2.46635,2309
61,STK3AP,287.970586,11.8015,1.65915,5.27609,2463
62,SWR435,287.970586,11.8015,1.50923,4.79934,2376
63,SWR44K,287.970586,11.8015,1.47178,4.68025,2343
