Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
1,EZY46AK,217.337217,41.7343,1.97887,6.29282,2196
2,WUK147,217.337217,43.5361,2.20276,7.00479,2129
3,WUK480,217.337217,43.5361,2.20276,7.00479,2129
4,EZY86QA,217.337217,43.9461,2.05581,6.53746,2126
5,WUK407,217.337217,43.5361,2.20276,7.00479,2129
6,EZY64RU,217.337217,43.3353,2.09191,6.65229,2135
7,WUK19CD,217.337217,43.2521,2.34785,7.46617,2126
8,EZY19QZ,217.337217,43.2543,2.14924,6.83458,2123
9,PHMFX,217.337217,42.9634,0.572284,1.81986,2193
10,EZY85GB,217.337217,43.9461,2.05581,6.53746,2126
11,EZY86DM,217.337217,43.6758,2.22047,7.06111,2129
12,WUK1EF,217.337217,43.1189,2.32396,7.39019,2121
13,WUK6001,217.337217,43.3967,2.1733,6.9111,2127
14,WUK6PX,217.337217,43.2521,2.34785,7.46617,2126
15,WUK972,217.337217,43.2521,2.34785,7.46617,2126
16,EZY91PK,217.337217,43.3967,2.1733,6.9111,2127
17,WUK1798,217.337217,43.2521,2.34785,7.46617,2126
18,EZY2083,217.337217,43.3967,2.1733,6.9111,2127
19,EZY41ZJ,217.337217,43.5361,2.20276,7.00479,2129
20,WZZ6ZM,217.337217,43.5361,2.20276,7.00479,2129
21,WZZ3TK,217.337217,43.3967,2.1733,6.9111,2127
22,WZZ4AR,217.337217,43.3967,2.1733,6.9111,2127
23,NJE432B,217.337217,30.4503,0.609652,1.93869,2982
24,WZZ354,217.337217,43.5361,2.20276,7.00479,2129
25,EZY79EZ,217.337217,41.7343,1.97887,6.29282,2196
26,WZZ3AT,217.337217,43.5361,2.20276,7.00479,2129
27,FOO768M,217.337217,41.2548,2.26269,7.19537,2197
28,WZZ1BE,217.337217,43.3967,2.1733,6.9111,2127
29,WZZ8GN,217.337217,43.5361,2.20276,7.00479,2129
30,RYR4YV,217.337217,43.4009,2.23062,7.09336,2105
31,WZZ6XJ,217.337217,43.0451,2.45951,7.82123,2116
32,WUK526,217.337217,43.2521,2.34785,7.46617,2126
33,WZZ3VS,217.337217,43.2521,2.34785,7.46617,2126
34,RYR8GL,217.337217,43.6598,2.26819,7.21285,2114
35,RJR004,217.337217,43.5333,0.70661,2.24702,2168
36,WZZ8TV,217.337217,43.5361,2.20276,7.00479,2129
37,WUK588,217.337217,43.3967,2.1733,6.9111,2127
38,EZY2157,217.337217,41.7343,1.97887,6.29282,2196
39,WZZ5ZU,217.337217,43.2521,2.34785,7.46617,2126
40,N818BA,217.337217,44.3509,1.00044,3.18139,2147
41,ELY312,217.337217,42.4924,2.27189,7.22462,2100
42,WZZ131,217.337217,43.3967,2.1733,6.9111,2127
43,NJE793P,217.337217,44.0749,0.621737,1.97712,2217
44,BMS6HU,217.337217,43.5278,2.24606,7.14248,2111
45,CGXNW,217.337217,36.1548,0.716274,2.27775,2778
46,VPCGN,217.337217,44.0652,1.38757,4.41248,2070
47,WUK4MK,217.337217,43.5288,2.41621,7.68356,2128
48,BMS1NY,217.337217,43.5278,2.24606,7.14248,2111
49,PKZ3377,217.337217,44.3017,0.686575,2.18331,2170
50,RYR74E,217.337217,43.5278,2.24606,7.14248,2111
51,WUK52,217.337217,43.3903,2.37878,7.56451,2128
52,JME512F,217.337217,42.9848,0.480225,1.52712,2328
53,WZZ9BE,217.337217,43.3967,2.1733,6.9111,2127
54,WUK8FL,217.337217,43.5361,2.20276,7.00479,2129
55,EZY2085,217.337217,43.2543,2.14924,6.83458,2123
56,SXS3F,217.337217,43.8005,2.31605,7.36504,2114
57,EZY86FH,217.337217,43.9461,2.05581,6.53746,2126
58,TFL078P,217.337217,41.0317,4.05491,12.8946,2166
59,WUK1VN,217.337217,43.3903,2.37878,7.56451,2128
60,WZZ6ER,217.337217,43.5361,2.20276,7.00479,2129
61,EZY56DH,217.337217,43.5361,2.20276,7.00479,2129
62,LWG1403,217.337217,40.4642,0.506219,1.60978,2440
63,EZY12VV,217.337217,43.9461,2.05581,6.53746,2126
64,VJT498,217.337217,44.277,0.677355,2.15399,2142
65,WUK4451,217.337217,43.0967,2.13526,6.79013,2118
66,WZZ518,217.337217,43.2521,2.34785,7.46617,2126
67,WZZ1AC,217.337217,43.2521,2.34785,7.46617,2126
68,WUK612,217.337217,43.2521,2.34785,7.46617,2126
69,LNX32TC,217.337217,30.07,0.821905,2.61366,3070
70,WZZ13BB,217.337217,43.2521,2.34785,7.46617,2126
71,WZZ471,217.337217,43.5361,2.20276,7.00479,2129
72,BMS7SE,217.337217,43.4896,1.99582,6.34672,2153
73,WUK1024,217.337217,43.6758,2.22047,7.06111,2129
74,WZZ560,217.337217,43.1857,2.47419,7.86793,2120
75,BMS9VQ,217.337217,43.6598,2.26819,7.21285,2114
76,WUK501,217.337217,43.1189,2.32396,7.39019,2121
77,EZY96YG,217.337217,41.63,2.101,6.68119,2163
78,WUK687,217.337217,43.5361,2.20276,7.00479,2129
79,WUK452,217.337217,43.2521,2.34785,7.46617,2126
80,MDADA,217.337217,44.0652,1.38757,4.41248,2070
81,EZY2351,217.337217,43.5361,2.20276,7.00479,2129
82,EZY2451,217.337217,43.9461,2.05581,6.53746,2126
83,WUK5DX,217.337217,43.2521,2.34785,7.46617,2126
84,RYR973H,217.337217,43.5278,2.24606,7.14248,2111
85,WZZ4ZC,217.337217,43.2521,2.34785,7.46617,2126
86,EZY31XF,217.337217,42.969,1.99484,6.3436,2119
87,EZY38ZR,217.337217,44.0891,2.09006,6.64639,2126
88,EZY13NU,217.337217,43.2543,2.14924,6.83458,2123
89,WUK8XN,217.337217,43.2521,2.34785,7.46617,2126
90,WUK5AY,217.337217,43.2521,2.34785,7.46617,2126
91,WZZ14AA,217.337217,43.2521,2.34785,7.46617,2126
92,EZY71DC,217.337217,41.63,2.101,6.68119,2163
93,TOM364,217.337217,43.6115,3.06413,9.74394,2087
94,WZZ371,217.337217,43.5361,2.20276,7.00479,2129
95,WZZ2SK,217.337217,43.5361,2.20276,7.00479,2129
96,EZY75YV,217.337217,43.5491,2.12507,6.75771,2135
97,9MCJG,217.337217,43.9373,1.38356,4.39974,2070
98,EJU52UT,217.337217,41.63,2.101,6.68119,2163
99,WZZ6VJ,217.337217,43.5361,2.20276,7.00479,2129
100,WUK3WT,217.337217,43.6758,2.22047,7.06111,2129
101,WZZ217,217.337217,43.5361,2.20276,7.00479,2129
102,WZZ1321,217.337217,43.5361,2.20276,7.00479,2129
103,WUK2EC,217.337217,43.2521,2.34785,7.46617,2126
104,WZZ8WE,217.337217,43.3967,2.1733,6.9111,2127
105,WUK3909,217.337217,43.2521,2.34785,7.46617,2126
106,WZZ8US,217.337217,43.3233,2.49117,7.92192,2122
107,ELY314,217.337217,42.9414,2.40526,7.64871,2117
108,WZZ1CD,217.337217,43.3967,2.1733,6.9111,2127
109,WZZ9LV,217.337217,43.6758,2.22047,7.06111,2129
110,WZZ100B,217.337217,43.3967,2.1733,6.9111,2127
111,WZZ2DU,217.337217,43.2521,2.34785,7.46617,2126
112,WZZ3PK,217.337217,43.2521,2.34785,7.46617,2126
113,WZZ607,217.337217,43.5361,2.20276,7.00479,2129
114,WUK472,217.337217,43.5361,2.20276,7.00479,2129
115,WUK588,217.337217,43.5361,2.20276,7.00479,2129
116,WUK19CD,217.337217,43.2521,2.34785,7.46617,2126
117,WUK4485,217.337217,43.5361,2.20276,7.00479,2129
118,EZY86QA,217.337217,43.2543,2.14924,6.83458,2123
119,EZY46AK,217.337217,41.63,2.101,6.68119,2163
120,WUK569,217.337217,43.2543,2.14924,6.83458,2123
121,EZY75YV,217.337217,43.5491,2.12507,6.75771,2135
122,WUK2LP,217.337217,43.2521,2.34785,7.46617,2126
123,WUK1EF,217.337217,43.1189,2.32396,7.39019,2121
124,WUK1798,217.337217,43.2521,2.34785,7.46617,2126
125,EZY19QZ,217.337217,43.9461,2.05581,6.53746,2126
126,EZY2083,217.337217,43.3967,2.1733,6.9111,2127
127,WZZ3TK,217.337217,43.5361,2.20276,7.00479,2129
128,WZZ6ZM,217.337217,43.5361,2.20276,7.00479,2129
129,WZZ354,217.337217,43.5361,2.20276,7.00479,2129
130,EZY2187,217.337217,43.3967,2.1733,6.9111,2127
131,FOO768M,217.337217,41.2548,2.26269,7.19537,2197
132,WZZ4AR,217.337217,43.5361,2.20276,7.00479,2129
133,WZZ3AT,217.337217,43.5361,2.20276,7.00479,2129
134,WZZ131,217.337217,43.3967,2.1733,6.9111,2127
135,WZZ8TV,217.337217,43.2521,2.34785,7.46617,2126
136,RYR4YV,217.337217,43.4009,2.23062,7.09336,2105
137,WZZ1BE,217.337217,43.5361,2.20276,7.00479,2129
138,WZZ3VS,217.337217,43.2521,2.34785,7.46617,2126
139,WUK526,217.337217,43.2521,2.34785,7.46617,2126
140,WZZ6XJ,217.337217,43.2521,2.34785,7.46617,2126
141,WZZ8GN,217.337217,43.5361,2.20276,7.00479,2129
142,RYR8GL,217.337217,43.6598,2.26819,7.21285,2114
143,WZZ62,217.337217,43.3967,2.1733,6.9111,2127
144,MJE938,217.337217,41.1658,0.865244,2.75148,2485
145,WUK88,217.337217,43.3967,2.1733,6.9111,2127
146,EZY2157,217.337217,41.63,2.101,6.68119,2163
147,WZZ5ZU,217.337217,43.2521,2.34785,7.46617,2126
148,ELY312,217.337217,43.6598,2.26819,7.21285,2114
149,WUK52,217.337217,43.2521,2.34785,7.46617,2126
150,BMS6HU,217.337217,43.6598,2.26819,7.21285,2114
151,WZZ9BE,217.337217,43.5361,2.20276,7.00479,2129
152,WUK5316,217.337217,43.5361,2.20276,7.00479,2129
153,EZY79EZ,217.337217,41.63,2.101,6.68119,2163
154,EZY2085,217.337217,43.3967,2.1733,6.9111,2127
155,JET7,217.337217,36.2306,0.539489,1.71558,2786
156,WUK3728,217.337217,43.5361,2.20276,7.00479,2129
157,EZY12VV,217.337217,43.2543,2.14924,6.83458,2123
158,EZY86FH,217.337217,43.9461,2.05581,6.53746,2126
159,WZZ6ER,217.337217,43.5361,2.20276,7.00479,2129
160,EZY56DH,217.337217,43.5361,2.20276,7.00479,2129
161,WUK4451,217.337217,43.3967,2.1733,6.9111,2127
162,EZY31XF,217.337217,42.754,2.12125,6.74558,2100
163,WUK1VN,217.337217,43.2521,2.34785,7.46617,2126
164,WZZ13BB,217.337217,43.2521,2.34785,7.46617,2126
165,N59CF,217.337217,44.2209,0.993836,3.1604,2147
166,SXS6YJ,217.337217,43.8005,2.31605,7.36504,2114
167,ELY212,217.337217,43.6364,6.67939,21.2404,2049
168,WZZ1AC,217.337217,43.2521,2.34785,7.46617,2126
169,WUK687,217.337217,43.5361,2.20276,7.00479,2129
170,VLG962,217.337217,41.63,2.101,6.68119,2163
171,WZZ471,217.337217,43.6758,2.22047,7.06111,2129
172,WUK838,217.337217,43.5288,2.41621,7.68356,2128
173,TOM1MT,217.337217,43.7438,3.10807,9.88367,2090
174,GAC603V,217.337217,41.1857,0.281737,0.895925,2961
175,WZZ560,217.337217,43.2521,2.34785,7.46617,2126
176,VQBZM,217.337217,44.2209,0.993836,3.1604,2147
177,DITRA,217.337217,41.513,0.328623,1.04502,2524
178,EZY96YG,217.337217,41.7343,1.97887,6.29282,2196
179,WUK501,217.337217,43.1189,2.32396,7.39019,2121
180,WUK1088,217.337217,43.2521,2.34785,7.46617,2126
181,N585DW,217.337217,41.8043,1.23095,3.91442,2139
182,EZY92YX,217.337217,43.2543,2.14924,6.83458,2123
183,RYR973H,217.337217,43.6598,2.26819,7.21285,2114
184,WUK5AY,217.337217,43.2521,2.34785,7.46617,2126
185,VPCMY,217.337217,44.2209,0.993836,3.1604,2147
186,RYR46YN,217.337217,43.6598,2.26819,7.21285,2114
187,WZZ14AA,217.337217,43.2521,2.34785,7.46617,2126
188,WUK5DX,217.337217,43.2521,2.34785,7.46617,2126
189,EZY38ZR,217.337217,44.0891,2.09006,6.64639,2126
190,BMS7VV,217.337217,43.4896,1.99582,6.34672,2153
191,EZY18DH,217.337217,43.8118,2.03809,6.48113,2123
192,EZY71DC,217.337217,41.7343,1.97887,6.29282,2196
193,WUK452,217.337217,43.5361,2.20276,7.00479,2129
194,VLG84AS,217.337217,41.63,2.101,6.68119,2163
195,VLG966U,217.337217,44.0891,2.09006,6.64639,2126
196,WUK8XN,217.337217,43.2521,2.34785,7.46617,2126
197,WZZ1CD,217.337217,43.5361,2.20276,7.00479,2129
198,WZZ6VJ,217.337217,43.5361,2.20276,7.00479,2129
199,WZZ348,217.337217,43.5361,2.20276,7.00479,2129
200,WZZ371,217.337217,43.5361,2.20276,7.00479,2129
201,WZZ1321,217.337217,43.5361,2.20276,7.00479,2129
202,WZZ8WE,217.337217,43.3967,2.1733,6.9111,2127
203,WZZ9LV,217.337217,43.5361,2.20276,7.00479,2129
204,WZZ100B,217.337217,43.5361,2.20276,7.00479,2129
205,VPBVV,217.337217,44.2582,2.01794,6.41706,2103
206,WUK3WT,217.337217,43.3903,2.37878,7.56451,2128
207,WUK625,217.337217,43.2521,2.34785,7.46617,2126
208,WUK2EC,217.337217,43.2521,2.34785,7.46617,2126
209,ELY314,217.337217,42.9414,2.40526,7.64871,2117
210,SXS4RK,217.337217,43.6598,2.26819,7.21285,2114
211,WUK147,217.337217,43.5361,2.20276,7.00479,2129
212,WUK480,217.337217,43.5361,2.20276,7.00479,2129
213,WUK19CD,217.337217,43.2521,2.34785,7.46617,2126
214,EZY86FJ,217.337217,43.5361,2.20276,7.00479,2129
215,WUK407,217.337217,43.5361,2.20276,7.00479,2129
216,EZY38KW,217.337217,43.2543,2.14924,6.83458,2123
217,EZY46AK,217.337217,41.7343,1.97887,6.29282,2196
218,MCLAB,217.337217,44.7517,0.648001,2.06064,2141
219,EZY75YV,217.337217,43.1304,2.06942,6.58075,2129
220,WUK1EF,217.337217,43.1189,2.32396,7.39019,2121
221,AXG0317,217.337217,41.6332,0.689969,2.1941,2121
222,XCH383,217.337217,44.3017,0.686575,2.18331,2170
223,WUK972,217.337217,43.2521,2.34785,7.46617,2126
224,WUK6PX,217.337217,43.2521,2.34785,7.46617,2126
225,CGXNW,217.337217,44.0749,0.621737,1.97712,2217
226,EZY19QZ,217.337217,43.9461,2.05581,6.53746,2126
227,WUK1798,217.337217,43.2521,2.34785,7.46617,2126
228,RYR973H,217.337217,43.6598,2.26819,7.21285,2114
229,EZY91PK,217.337217,43.3967,2.1733,6.9111,2127
230,WUK6001,217.337217,43.5361,2.20276,7.00479,2129
231,EZY2083,217.337217,43.3967,2.1733,6.9111,2127
232,EZY43JV,217.337217,43.5361,2.20276,7.00479,2129
233,EZY41ZJ,217.337217,43.5491,2.12507,6.75771,2135
234,WZZ3TK,217.337217,43.5361,2.20276,7.00479,2129
235,WZZ6ZM,217.337217,43.5361,2.20276,7.00479,2129
236,FOO768M,217.337217,41.2548,2.26269,7.19537,2197
237,WZZ3AT,217.337217,43.3967,2.1733,6.9111,2127
238,WZZ8TV,217.337217,43.2521,2.34785,7.46617,2126
239,WZZ4AR,217.337217,43.5361,2.20276,7.00479,2129
240,WZZ131,217.337217,43.3967,2.1733,6.9111,2127
241,WZZ3VS,217.337217,43.2521,2.34785,7.46617,2126
242,WZZ1BE,217.337217,43.3967,2.1733,6.9111,2127
243,WZZ8GN,217.337217,43.5361,2.20276,7.00479,2129
244,WZZ6XJ,217.337217,43.1857,2.47419,7.86793,2120
245,WUK526,217.337217,43.2521,2.34785,7.46617,2126
246,BCS6756,217.337217,43.646,4.57554,14.5502,2111
247,GAC408E,217.337217,41.1857,0.281737,0.895925,2961
248,WZZ5ZU,217.337217,43.2521,2.34785,7.46617,2126
249,WUK4MK,217.337217,43.5288,2.41621,7.68356,2128
250,RYR8GL,217.337217,43.6598,2.26819,7.21285,2114
251,BCS6717,217.337217,43.3628,4.45398,14.1637,2105
252,EZY2157,217.337217,41.7343,1.97887,6.29282,2196
253,YUGSF,217.337217,44.277,0.677355,2.15399,2142
254,BMS7SE,217.337217,43.4896,1.99582,6.34672,2153
255,ELY312,217.337217,43.6598,2.26819,7.21285,2114
256,SVW72VP,217.337217,44.2209,0.993836,3.1604,2147
257,BMS9VQ,217.337217,43.6598,2.26819,7.21285,2114
258,ESW280,217.337217,44.0041,0.684609,2.17706,2142
259,SXN65C,217.337217,44.1725,0.697545,2.21819,2166
260,BMS1NY,217.337217,43.5278,2.24606,7.14248,2111
261,WUK52,217.337217,43.2521,2.34785,7.46617,2126
262,VPCMC,217.337217,44.2209,0.993836,3.1604,2147
263,RYR74E,217.337217,43.8005,2.31605,7.36504,2114
264,VJT565,217.337217,44.4475,0.681996,2.16875,2170
265,WUK8FL,217.337217,43.5361,2.20276,7.00479,2129
266,WUK1VN,217.337217,43.2521,2.34785,7.46617,2126
267,TVS9J,217.337217,44.0749,0.621737,1.97712,2217
268,EZY79EZ,217.337217,41.63,2.101,6.68119,2163
269,EZY2085,217.337217,43.3967,2.1733,6.9111,2127
270,LXG55GA,217.337217,30.6348,0.566328,1.80092,2998
271,WZZ6ER,217.337217,43.5361,2.20276,7.00479,2129
272,EZY12VV,217.337217,43.2543,2.14924,6.83458,2123
273,EZY86FH,217.337217,43.9461,2.05581,6.53746,2126
274,EDC638R,217.337217,44.0769,0.989618,3.14698,2147
275,WUK1024,217.337217,43.5361,2.20276,7.00479,2129
276,WZZ13BB,217.337217,43.2521,2.34785,7.46617,2126
277,ELY212,217.337217,43.6364,6.67939,21.2404,2049
278,WZZ518,217.337217,43.2521,2.34785,7.46617,2126
279,WUK4451,217.337217,43.3967,2.1733,6.9111,2127
280,WUK612,217.337217,43.2521,2.34785,7.46617,2126
281,EZY28UE,217.337217,43.3967,2.1733,6.9111,2127
282,EZY56DH,217.337217,44.0891,2.09006,6.64639,2126
283,WZZ471,217.337217,43.5361,2.20276,7.00479,2129
284,WZZ1AC,217.337217,43.2521,2.34785,7.46617,2126
285,EZY31XF,217.337217,42.969,1.99484,6.3436,2119
286,WZZ560,217.337217,43.1857,2.47419,7.86793,2120
287,BWJ888,217.337217,43.9373,1.38356,4.39974,2070
288,WUK452,217.337217,43.2521,2.34785,7.46617,2126
289,WUK5DX,217.337217,43.2521,2.34785,7.46617,2126
290,WUK687,217.337217,43.0967,2.13526,6.79013,2118
291,N36GV,217.337217,44.0037,1.20858,3.84327,2105
292,EZY41PW,217.337217,43.5361,2.20276,7.00479,2129
293,EZY2351,217.337217,43.3967,2.1733,6.9111,2127
294,EZY96YG,217.337217,41.7343,1.97887,6.29282,2196
295,EZY93GN,217.337217,43.4104,2.09751,6.67009,2135
296,BCS6789,217.337217,43.646,4.57554,14.5502,2111
297,RYR4YV,217.337217,43.5278,2.24606,7.14248,2111
298,WZZ575,217.337217,43.5361,2.20276,7.00479,2129
299,WZZ4ZC,217.337217,43.2521,2.34785,7.46617,2126
