Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
1,EZY46AK,217.337217,40.9516,1.94401,6.18196,2142
2,WUK147,217.337217,42.5891,2.17287,6.90974,2080
3,WUK480,217.337217,42.5891,2.17287,6.90974,2080
4,EZY86QA,217.337217,43.0421,2.01566,6.40979,2075
5,WUK407,217.337217,42.5891,2.17287,6.90974,2080
6,EZY64RU,217.337217,42.473,2.05618,6.53865,2083
7,WUK19CD,217.337217,42.5461,2.30346,7.32499,2079
8,EZY19QZ,217.337217,42.2999,2.11847,6.73673,2076
9,PHMFX,217.337217,41.9851,0.565346,1.7978,2156
10,EZY85GB,217.337217,43.0421,2.01566,6.40979,2075
11,EZY86DM,217.337217,42.7346,2.18446,6.94658,2079
12,WUK1EF,217.337217,42.4114,2.27926,7.24804,2075
13,WUK6001,217.337217,42.4459,2.14049,6.80676,2079
14,WUK6PX,217.337217,42.5461,2.30346,7.32499,2079
15,WUK972,217.337217,42.5461,2.30346,7.32499,2079
16,EZY91PK,217.337217,42.4459,2.14049,6.80676,2079
17,WUK1798,217.337217,42.5461,2.30346,7.32499,2079
18,EZY2083,217.337217,42.4459,2.14049,6.80676,2079
19,EZY41ZJ,217.337217,42.5891,2.17287,6.90974,2080
20,WZZ6ZM,217.337217,42.5891,2.17287,6.90974,2080
21,WZZ3TK,217.337217,42.4459,2.14049,6.80676,2079
22,WZZ4AR,217.337217,42.4459,2.14049,6.80676,2079
23,NJE432B,217.337217,30.1884,0.599778,1.90729,2928
24,WZZ354,217.337217,42.5891,2.17287,6.90974,2080
25,EZY79EZ,217.337217,40.9516,1.94401,6.18196,2142
26,WZZ3AT,217.337217,42.5891,2.17287,6.90974,2080
27,FOO768M,217.337217,40.6339,2.22239,7.0672,2148
28,WZZ1BE,217.337217,42.4459,2.14049,6.80676,2079
29,WZZ8GN,217.337217,42.5891,2.17287,6.90974,2080
30,RYR4YV,217.337217,42.6203,2.20678,7.01757,2069
31,WZZ6XJ,217.337217,42.2022,2.42878,7.72353,2072
32,WUK526,217.337217,42.5461,2.30346,7.32499,2079
33,WZZ3VS,217.337217,42.5461,2.30346,7.32499,2079
34,RYR8GL,217.337217,42.8735,2.24548,7.14064,2077
35,RJR004,217.337217,42.5459,0.695687,2.21229,2117
36,WZZ8TV,217.337217,42.5891,2.17287,6.90974,2080
37,WUK588,217.337217,42.4459,2.14049,6.80676,2079
38,EZY2157,217.337217,40.9516,1.94401,6.18196,2142
39,WZZ5ZU,217.337217,42.5461,2.30346,7.32499,2079
40,N818BA,217.337217,43.2924,0.999456,3.17827,2105
41,ELY312,217.337217,41.745,2.24603,7.14238,2065
42,WZZ131,217.337217,42.4459,2.14049,6.80676,2079
43,NJE793P,217.337217,42.7241,0.622429,1.97932,2212
44,BMS6HU,217.337217,42.7482,2.22308,7.06939,2074
45,CGXNW,217.337217,36.3037,0.655659,2.08499,2526
46,VPCGN,217.337217,42.8125,1.37972,4.3875,2041
47,WUK4MK,217.337217,42.8031,2.37019,7.53721,2082
48,BMS1NY,217.337217,42.7482,2.22308,7.06939,2074
49,PKZ3377,217.337217,43.2139,0.681711,2.16784,2126
50,RYR74E,217.337217,42.7482,2.22308,7.06939,2074
51,WUK52,217.337217,42.6704,2.33429,7.42303,2082
52,JME512F,217.337217,42.0657,0.472727,1.50327,2284
53,WZZ9BE,217.337217,42.4459,2.14049,6.80676,2079
54,WUK8FL,217.337217,42.5891,2.17287,6.90974,2080
55,EZY2085,217.337217,42.2999,2.11847,6.73673,2076
56,SXS3F,217.337217,43.0076,2.29317,7.29229,2077
57,EZY86FH,217.337217,43.0421,2.01566,6.40979,2075
58,TFL078P,217.337217,40.1914,3.99531,12.7051,2121
59,WUK1VN,217.337217,42.6704,2.33429,7.42303,2082
60,WZZ6ER,217.337217,42.5891,2.17287,6.90974,2080
61,EZY56DH,217.337217,42.5891,2.17287,6.90974,2080
62,LWG1403,217.337217,39.6246,0.496032,1.57738,2385
63,EZY12VV,217.337217,43.0421,2.01566,6.40979,2075
64,VJT498,217.337217,43.2296,0.675179,2.14707,2103
65,WUK4451,217.337217,42.1547,2.10682,6.69967,2070
66,WZZ518,217.337217,42.5461,2.30346,7.32499,2079
67,WZZ1AC,217.337217,42.5461,2.30346,7.32499,2079
68,WUK612,217.337217,42.5461,2.30346,7.32499,2079
69,LNX32TC,6.234838,2.46551,0.0559552,0.177938,125
70,WZZ13BB,217.337217,42.5461,2.30346,7.32499,2079
71,WZZ471,217.337217,42.5891,2.17287,6.90974,2080
72,BMS7SE,217.337217,42.4198,1.9778,6.28939,2115
73,WUK1024,217.337217,42.7346,2.18446,6.94658,2079
74,WZZ560,217.337217,42.3352,2.44413,7.77234,2076
75,BMS9VQ,217.337217,42.8735,2.24548,7.14064,2077
76,WUK501,217.337217,42.4114,2.27926,7.24804,2075
